,date,site,opp_name,win_or_loss,winning_score,opp_score,fgm,fga,fg_perc,threes,three_att,three_perc,ft,fta,ft_perc,orb,trb,ast,stl,blk,tov,pf,opp_fgm,opp_fga,opp_fg_perc,opp_threes,opp_three_att,opp_three_perc,opp_ft,opp_fta,opp_ft_perc,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf
0,2018-11-06,,Idaho State,W,120,79,41,70,.586,8,24,.333,30,37,.811,12,37,29,9,4,7,14,32,70,.457,6,18,.333,9,13,.692,10,26,16,5,2,13,25
1,2018-11-10,,Texas Southern,W,104,67,37,71,.521,8,25,.320,22,25,.880,13,50,18,7,7,12,18,24,70,.343,7,26,.269,12,18,.667,8,28,12,6,3,15,22
2,2018-11-15,,Texas A&M,W,94,71,32,65,.492,7,21,.333,23,32,.719,11,40,16,8,10,11,20,27,65,.415,5,18,.278,12,19,.632,12,37,9,6,4,11,22
3,2018-11-19,N,Illinois,W,84,78,27,51,.529,7,19,.368,23,35,.657,10,41,16,5,5,21,22,27,70,.386,10,31,.323,14,19,.737,11,31,10,9,1,12,27
4,2018-11-20,N,Arizona,W,91,74,34,64,.531,9,29,.310,14,21,.667,9,36,22,8,4,12,22,21,51,.412,7,23,.304,25,30,.833,3,28,3,5,0,16,19
5,2018-11-21,N,Duke,W,89,87,34,65,.523,10,19,.526,11,19,.579,11,31,16,5,10,9,20,31,72,.431,5,13,.385,20,26,.769,17,39,9,5,6,10,18
6,2018-11-26,,North Dakota State,W,102,60,37,58,.638,15,28,.536,13,19,.684,4,34,25,8,5,8,13,23,65,.354,4,27,.148,10,17,.588,7,22,2,5,2,11,14
7,2018-12-01,@,Creighton,W,103,92,35,67,.522,11,29,.379,22,27,.815,11,39,18,7,3,8,13,36,74,.486,14,34,.412,6,10,.600,11,31,15,2,2,8,20
8,2018-12-05,,Washington,W,81,79,27,63,.429,8,20,.400,19,19,1.000,13,37,21,4,1,9,16,28,59,.475,9,27,.333,14,15,.933,5,24,15,5,3,9,20
9,2018-12-09,N,Tennessee,L,73,76,27,59,.458,7,18,.389,12,19,.632,10,39,14,4,2,11,17,29,72,.403,12,29,.414,6,10,.600,16,38,22,2,4,7,16
10,2018-12-15,@,UNC,L,90,103,32,63,.508,8,22,.364,18,23,.783,4,20,17,13,4,14,20,35,64,.547,13,25,.520,20,25,.800,12,39,18,6,2,22,18
11,2018-12-18,,Texas-Arlington,W,89,55,31,59,.525,6,24,.250,21,25,.840,8,48,20,8,8,15,17,19,71,.268,8,34,.235,9,11,.818,7,27,11,10,0,10,21
12,2018-12-21,,Denver,W,101,40,39,57,.684,10,23,.435,13,16,.813,4,40,25,6,5,13,15,16,65,.246,2,18,.111,6,10,.600,10,26,8,4,0,12,15
13,2018-12-28,,North Alabama,W,96,51,34,63,.540,9,24,.375,19,24,.792,10,38,16,15,7,11,14,18,55,.327,4,19,.211,11,20,.550,5,28,6,4,2,16,19
14,2018-12-31,,Cal State Bakersfield,W,89,54,30,58,.517,10,26,.385,19,28,.679,9,31,16,8,5,11,17,22,60,.367,3,19,.158,7,10,.700,10,33,4,6,2,19,23
15,2019-01-05,,Santa Clara,W,91,48,32,62,.516,5,19,.263,22,31,.710,8,36,17,14,9,8,23,17,51,.333,4,17,.235,10,22,.455,6,31,7,1,1,20,23
16,2019-01-10,,Pacific,W,67,36,23,53,.434,6,24,.250,15,19,.789,4,32,12,8,6,11,15,12,45,.267,4,15,.267,8,13,.615,6,30,7,4,1,19,22
17,2019-01-12,@,San Francisco,W,96,83,36,69,.522,9,20,.450,15,21,.714,12,38,14,1,9,4,17,28,69,.406,8,25,.320,19,25,.760,14,36,9,1,2,5,21
18,2019-01-17,,Loyola Marymount,W,73,55,28,55,.509,7,23,.304,10,14,.714,10,33,16,8,5,16,12,21,55,.382,5,9,.556,8,11,.727,10,26,9,9,2,16,15
19,2019-01-19,@,Portland,W,89,66,33,66,.500,11,31,.355,12,15,.800,15,41,26,5,4,8,19,22,46,.478,7,23,.304,15,22,.682,1,20,13,2,0,12,20
20,2019-01-24,@,Santa Clara,W,98,39,36,70,.514,10,27,.370,16,19,.842,12,42,21,9,4,2,12,13,48,.271,3,18,.167,10,15,.667,3,25,5,1,3,18,16
21,2019-01-31,@,BYU,W,93,63,37,63,.587,10,20,.500,9,14,.643,9,40,21,5,4,9,12,24,65,.369,6,21,.286,9,12,.750,5,27,11,6,1,7,15
22,2019-02-02,,San Diego,W,85,69,29,54,.537,6,14,.429,21,28,.750,4,28,15,9,5,10,17,24,52,.462,10,23,.435,11,16,.688,4,24,11,6,1,14,21
23,2019-02-07,,San Francisco,W,92,62,32,64,.500,6,15,.400,22,27,.815,12,44,16,8,10,10,14,26,67,.388,5,16,.313,5,12,.417,9,30,9,8,2,10,19
24,2019-02-09,,Saint Mary's,W,94,46,35,60,.583,8,18,.444,16,20,.800,8,36,22,9,6,6,16,15,58,.259,1,13,.077,15,19,.789,8,25,1,3,2,10,14
25,2019-02-14,@,Loyola Marymount,W,73,60,23,50,.460,6,19,.316,21,22,.955,5,31,17,2,6,10,15,25,66,.379,1,14,.071,9,16,.563,13,30,14,5,3,5,19
26,2019-02-16,@,San Diego,W,79,67,32,55,.582,3,14,.214,12,14,.857,5,31,13,5,2,9,18,23,58,.397,9,26,.346,12,15,.800,6,23,14,6,5,8,16
27,2019-02-21,,Pepperdine,W,92,64,37,59,.627,8,21,.381,10,14,.714,9,37,22,8,8,13,15,26,68,.382,7,23,.304,5,8,.625,13,22,15,8,1,13,14
28,2019-02-23,,BYU,W,102,68,36,66,.545,9,20,.450,21,27,.778,7,39,18,10,2,6,14,26,62,.419,8,21,.381,8,13,.615,6,31,13,3,3,15,22
29,2019-02-28,@,Pacific,W,86,66,33,55,.600,5,14,.357,15,18,.833,5,33,12,8,5,8,12,23,62,.371,12,24,.500,8,10,.800,9,28,9,6,0,12,16
30,2019-03-02,@,Saint Mary's,W,69,55,28,53,.528,2,14,.143,11,12,.917,5,29,11,9,6,10,14,23,57,.404,5,15,.333,4,7,.571,9,27,4,6,1,12,16
31,2019-03-11,N,Pepperdine,W,100,74,37,62,.597,11,23,.478,15,22,.682,8,36,26,11,5,13,13,29,65,.446,9,24,.375,7,9,.778,7,24,9,8,2,16,17
32,2019-03-12,N,Saint Mary's,L,47,60,18,48,.375,2,17,.118,9,12,.750,5,26,6,5,2,12,14,23,51,.451,4,14,.286,10,11,.909,5,30,4,7,1,10,12
